population,deltafitness
aInnXY-LHm,-0.138151423
aInnXY-LHm,-0.176690321
aInnXY-LHm,0.000753415
aInnXY-LHm,-0.029497431
aInnXY-LHm,-0.141632183
aInnXY-LHm,0.038056577
aInnXY-LHm,-0.02703834
aInnXY-LHm,-0.096217783
aInnXY-LHm,-0.091503977
aInnXY-LHm,0.110521301
aInnXY-LHm,-0.007989319
aInnXY-LHm,-0.267760639
aInnXY-LHm,-0.216662163
aInnXY-LHm,-0.145686701
aInnXY-LHm,-0.078211849
aInnXY-LHm,-0.141016035
aInnXY-LHm,-0.214006697
aInnXY-LHm,-0.105029164
aInnXY-LHm,0.044696254
aInnXY-LHm,-0.080397863
aInnXY-LHm,-0.161516846
aInnXY-LHm,-0.222745933
aInnXY-LHm,-0.242899474
aInnXY-LHm,0.033398188
aInnXY-LHm,-0.148011054
aInnXY-LHm,-0.078326487
aInnXY-LHm,-0.01299051
aInnXY-LHm,-0.014572249
aInnXY-LHm,0.106500704
aInnXY-LHm,-0.070761396
aInnXY-LHm,0.090416593
aInnXY-LHm,0.056359885
aInnXY-LHm,0.02037383
aInnXY-LHm,-0.024719116
aInnXY-LHm,-0.014994792
aInnXY-LHm,0.015355204
aInnXY-LHm,-0.021951418
aInnXY-LHm,0.008680223
aInnXY-LHm,-0.030410682
aInnXY-LHm,-0.089803941
aInnXY-LHm,-0.122003668
aInnXY-LHm,0.027142532
aInnXY-LHm,0.016390239
aInnXY-LHm,-0.113895213
aInnXY-LHm,0.002034315
aInnXY-LHm,0.042377002
aInnXY-LHm,-0.173845921
aInnXY-LHm,-0.101010676
aInnXY-LHm,0.056755975
aInnXY-LHm,0.007878044
aInnXY-LHm,-0.165402495
aInnXY-LHm,-0.072770772
aInnXY-LHm,-0.193922017
aInnXY-LHm,0.035646597
aInnXY-LHm,-0.217252876
aInnXY-LHm,-0.074508274
aInnXY-LHm,0.061525651
aInnXY-LHm,-0.073019313
aInnXY-LHm,-0.076953085
aInnXY-LHm,-0.177946723
aInnXY-LHm,0.154905984
aInnXY-LHm,-0.07190818
aInnXY-LHm,0.041797368
aInnXY-LHm,-0.109265536
aInnXY-LHm,-0.210854589
aInnXY-LHm,-0.032848838
aInnXY-LHm,-0.076683799
aInnXY-LHm,0.082839785
aInnXY-LHm,-0.183236676
