population,deltaProp_male
aLHmX-Inn,-0.025896315
aLHmX-Inn,-0.024197199
aLHmX-Inn,-0.034872418
aLHmX-Inn,-0.00664715
aLHmX-Inn,-0.03120497
aLHmX-Inn,-0.046154675
aLHmX-Inn,-0.037106014
aLHmX-Inn,-0.058998888
aLHmX-Inn,-0.003337836
aLHmX-Inn,-0.020083917
aLHmX-Inn,-0.031273449
aLHmX-Inn,-0.039074691
aLHmX-Inn,-0.052016837
aLHmX-Inn,-0.027309719
aLHmX-Inn,-0.009995645
aLHmX-Inn,-0.026503999
aLHmX-Inn,-0.023853549
aLHmX-Inn,-0.035017587
aLHmX-Inn,-0.021739381
aLHmX-Inn,-0.045621543
aLHmX-Inn,-0.014874904
aLHmX-Inn,-0.046860255
aLHmX-Inn,0.002391372
aLHmX-Inn,-0.013235824
aLHmX-Inn,-0.043937636
aLHmX-Inn,-0.025997539
aLHmX-Inn,-0.001600352
aLHmX-Inn,-0.022491306
aLHmX-Inn,-0.015296802
aLHmX-Inn,-0.02278102
aLHmX-Inn,0.017881637
aLHmX-Inn,-0.010637552
aLHmX-Inn,0.012935973
aLHmX-Inn,-0.008532684
aLHmX-Inn,-0.01962406
aLHmX-Inn,-0.034361741
aLHmX-Inn,-0.027888407
aLHmX-Inn,-0.054335079
aLHmX-Inn,0.001431028
aLHmX-Inn,-0.020092083
aLHmX-Inn,-0.022647251
aLHmX-Inn,-0.008587818
aLHmX-Inn,0.004448098
aLHmX-Inn,-0.045645305
aLHmX-Inn,-0.015810419
aLHmX-Inn,-0.016498032
aLHmX-Inn,-0.071571441
aLHmX-Inn,-0.035276344
aLHmX-Inn,-0.01617899
aLHmX-Inn,-0.033395466
aLHmX-Inn,-0.025272087
aLHmX-Inn,-0.002174892
aLHmX-Inn,-0.030252412
aLHmX-Inn,-0.026011161
aLHmX-Inn,-0.034272747
aLHmX-Inn,-0.015790945
aLHmX-Inn,-0.025376314
aLHmX-Inn,-0.041135965
aLHmX-Inn,-0.04116552
aLHmX-Inn,-0.040328997
aLHmX-Inn,-0.061009446
aLHmX-Inn,-0.021483216
aLHmX-Inn,-0.013109358
aLHmX-Inn,-0.019077916
aLHmX-Inn,-0.013283829
aLHmX-Inn,-0.027645565
aLHmX-Inn,-0.018082367
aLHmX-Inn,-0.029380798
aLHmX-Inn,-0.019384851
aLHmX-Inn,-0.02799516
aLHmX-Inn,-0.04040755
aLHmX-Inn,-0.035170114
aLHmX-Inn,-0.013057328
aLHmX-Inn,-0.015074855
aLHmX-Inn,-0.011741768
aLHmX-Inn,0.001358031
aLHmX-Inn,-0.037214752
aLHmX-Inn,-0.042067083
aLHmX-Inn,-0.024366907
aLHmX-Inn,-0.008329966
aLHmX-Inn,-0.003017378
aLHmX-Inn,-0.039203719
aLHmX-Inn,-0.012092446
aLHmX-Inn,-0.022845499
aLHmX-Inn,-0.029929416
aLHmX-Inn,-0.018579048
aLHmX-Inn,-0.022699317
aLHmX-Inn,-0.012225805
aLHmX-Inn,-0.004629646
aLHmX-Inn,-0.046135905
aLHmX-Inn,-0.0183303
aLHmX-Inn,-0.031072725
aLHmX-Inn,-0.006008804
aLHmX-Inn,-0.002724417
aLHmX-Inn,0.005258979
aLHmX-Inn,-0.02637512
aLHmX-Inn,-0.059383713
aLHmX-Inn,-0.039324792
aLHmX-Inn,0.01286152
aLHmX-Inn,-0.022416221
aLHmX-Inn,-0.012190362
aLHmX-Inn,-0.013560688
aLHmX-Inn,-0.014486999
aLHmX-Inn,-0.026064244
aLHmX-Inn,-0.013120209
aLHmX-Inn,-0.032939484
aLHmX-Inn,-0.035260571
aLHmX-Inn,-0.024811691
aLHmX-Inn,-0.014045289
aLHmX-Inn,-0.001040237
aLHmX-Inn,-0.032618187
aLHmX-Inn,-0.004900981
aLHmX-Inn,-0.041773324
aLHmX-Inn,-0.016329836
aLHmX-Inn,0.001207838
aLHmX-Inn,-0.000255458
aLHmX-Inn,-0.017608743
aLHmX-Inn,-0.023126546
aLHmX-Inn,-0.027968613
aLHmX-Inn,-0.006135663
aLHmX-Inn,-0.025678853
aLHmX-Inn,0.005405465
aLHmX-Inn,-0.025265508
aLHmX-Inn,-0.024281242
aLHmX-Inn,-0.021031851
aLHmX-Inn,-0.018063688
aLHmX-Inn,-0.018397966
aLHmX-Inn,-0.042133046
aLHmX-Inn,-0.019845685
aLHmX-Inn,-0.035838285
aLHmX-Inn,-0.068399398
aLHmX-Inn,-0.039733748
aLHmX-Inn,-0.011302032
aLHmX-Inn,-0.042776716
aLHmX-Inn,-0.039655888
aLHmX-Inn,-0.038143786
aLHmX-Inn,0.008318916
aLHmX-Inn,-0.053404302
aLHmX-Inn,-0.035021025
aLHmX-Inn,-0.057710862
aLHmX-Inn,0.00207849
aLHmX-Inn,-0.004001553
aLHmX-Inn,-0.021335684
aLHmX-Inn,-0.034459834
aLHmX-Inn,-0.047065546
aLHmX-Inn,-0.013229587
aLHmX-Inn,-0.038412716
aLHmX-Inn,-0.018083039
aLHmX-Inn,-0.015538642
aLHmX-Inn,-0.017076662
aLHmX-Inn,-0.074186631
aLHmX-Inn,-0.000702228
aLHmX-Inn,-0.043293415
aLHmX-Inn,-0.020585174
aLHmX-Inn,0.009352248
aLHmX-Inn,-0.029018697
aLHmX-Inn,-0.017285569
aLHmX-Inn,-0.024619858
aLHmX-Inn,-0.014093624
aLHmX-Inn,-0.01581962
aLHmX-Inn,-0.018285932
aLHmX-Inn,-0.056294179
aLHmX-Inn,-0.040290941
aLHmX-Inn,-0.005539748
aLHmX-Inn,-0.010062705
aLHmX-Inn,-0.016299956
aLHmX-Inn,-0.019564527
aLHmX-Inn,-0.039069581
aLHmX-Inn,-0.053370319
aLHmX-Inn,-0.019655786
aLHmX-Inn,-0.019795265
aLHmX-Inn,-0.012048006
aLHmX-Inn,-0.04318549
aLHmX-Inn,-0.025819049
aLHmX-Inn,-0.027945074
aLHmX-Inn,-0.014120426
aLHmX-Inn,-0.005718922
aLHmX-Inn,-0.037134592
aLHmX-Inn,-0.027929989
aLHmX-Inn,-0.049754768
aLHmX-Inn,-0.031707869
aLHmX-Inn,-0.025024026
aLHmX-Inn,-0.031577342
aLHmX-Inn,-0.021998203
aLHmX-Inn,-0.023704981
aLHmX-Inn,-0.03511199
aLHmX-Inn,-0.031931202
aLHmX-Inn,-0.034074372
aLHmX-Inn,-0.016479213
aLHmX-Inn,-0.026806505
aLHmX-Inn,-0.039823749
aLHmX-Inn,0.019541073
aLHmX-Inn,-0.038826722
aLHmX-Inn,-0.042563158
aLHmX-Inn,-0.003848793
aLHmX-Inn,-0.031875464
aLHmX-Inn,-0.008014141
aLHmX-Inn,-0.005288047
aLHmX-Inn,-0.018411863
aLHmX-Inn,-0.017065309
aLHmX-Inn,0.004227203
aLHmX-Inn,-0.015675323
aLHmX-Inn,-0.007754699
aLHmX-Inn,-0.030303609
aLHmX-Inn,-0.011223005
aLHmX-Inn,0.007357931
aLHmX-Inn,-0.023863827
aLHmX-Inn,-0.018376283
aLHmX-Inn,-0.00125147
aLHmX-Inn,-0.027070396
aLHmX-Inn,-0.036342516
aLHmX-Inn,-0.019626782
aLHmX-Inn,-0.00770768
aLHmX-Inn,-0.019190867
aLHmX-Inn,-0.038750939
aLHmX-Inn,-0.024468666
aLHmX-Inn,-0.001066622
aLHmX-Inn,-0.052427064
aLHmX-Inn,-0.028880981
aLHmX-Inn,-0.024035968
aLHmX-Inn,-0.036374724
aLHmX-Inn,-0.014520412
aLHmX-Inn,-0.013550192
aLHmX-Inn,-0.018948624
aLHmX-Inn,-0.011788214
aLHmX-Inn,-0.029215053
aLHmX-Inn,-0.035477047
aLHmX-Inn,-0.035708527
aLHmX-Inn,0.001125711
aLHmX-Inn,-0.027289439
aLHmX-Inn,-0.01794915
aLHmX-Inn,-0.041251183
aLHmX-Inn,-0.023439331
aLHmX-Inn,-0.048021756
aLHmX-Inn,-0.016554451
aLHmX-Inn,-0.026399823
aLHmX-Inn,-0.041042722
aLHmX-Inn,-0.009868497
aLHmX-Inn,-0.022281778
aLHmX-Inn,-0.011363391
aLHmX-Inn,-0.01218286
aLHmX-Inn,-0.012136599
aLHmX-Inn,-0.044420486
aLHmX-Inn,-0.033058508
aLHmX-Inn,-0.030127119
aLHmX-Inn,-0.063062589
aLHmX-Inn,-0.018143274
aLHmX-Inn,0.004251821
aLHmX-Inn,-0.00866731
aLHmX-Inn,-0.047952469
aLHmX-Inn,-0.008389064
aLHmX-Inn,-0.028086135
aLHmX-Inn,-0.019828998
aLHmX-Inn,-0.030438124
aLHmX-Inn,0.015317598
aLHmX-Inn,-0.028793291
aLHmX-Inn,0.005021043
aLHmX-Inn,-0.000224915
aLHmX-Inn,-0.03331016
aLHmX-Inn,0.005956701
aLHmX-Inn,-0.020530237
aLHmX-Inn,-0.001187504
aLHmX-Inn,0.004190323
aLHmX-Inn,-0.030847842
aLHmX-Inn,-0.034967357
aLHmX-Inn,-0.003842268
aLHmX-Inn,-0.004695117
aLHmX-Inn,-0.022426752
aLHmX-Inn,-0.032876095
aLHmX-Inn,-0.026436002
aLHmX-Inn,-0.031956492
aLHmX-Inn,-0.0016751
aLHmX-Inn,-0.025387635
aLHmX-Inn,-0.032182371
aLHmX-Inn,-0.018445853
