population,deltaprop_red
aLHmX-Inn,0.166725029
aLHmX-Inn,0.108628618
aLHmX-Inn,0.055245313
aLHmX-Inn,0.023986146
aLHmX-Inn,0.059122136
aLHmX-Inn,0.118725987
aLHmX-Inn,0.131810959
aLHmX-Inn,0.090617575
aLHmX-Inn,0.125806075
aLHmX-Inn,0.119917107
aLHmX-Inn,0.124958273
aLHmX-Inn,0.068323424
aLHmX-Inn,0.080046066
aLHmX-Inn,0.073441622
aLHmX-Inn,0.070391966
aLHmX-Inn,0.184939496
aLHmX-Inn,0.044408267
aLHmX-Inn,0.036574528
aLHmX-Inn,0.081357037
aLHmX-Inn,0.029076802
aLHmX-Inn,0.070951737
aLHmX-Inn,0.074088731
aLHmX-Inn,0.110471658
aLHmX-Inn,0.198018141
aLHmX-Inn,0.110217048
aLHmX-Inn,0.11027857
aLHmX-Inn,0.087948754
aLHmX-Inn,0.130391066
aLHmX-Inn,0.014679208
aLHmX-Inn,0.050845317
aLHmX-Inn,0.065911806
aLHmX-Inn,0.091978614
aLHmX-Inn,0.023978377
aLHmX-Inn,0.052573129
aLHmX-Inn,0.084528221
aLHmX-Inn,0.086395899
aLHmX-Inn,0.041983191
aLHmX-Inn,0.120214439
aLHmX-Inn,0.172826532
aLHmX-Inn,0.090155146
aLHmX-Inn,0.048332725
aLHmX-Inn,0.142428236
aLHmX-Inn,0.039178769
aLHmX-Inn,0.020423916
aLHmX-Inn,0.008534258
aLHmX-Inn,0.075025242
aLHmX-Inn,0.006841374
aLHmX-Inn,0.148090288
aLHmX-Inn,0.073786691
aLHmX-Inn,0.072036466
aLHmX-Inn,0.090893809
aLHmX-Inn,0.088021037
aLHmX-Inn,0.085581076
aLHmX-Inn,0.015716052
aLHmX-Inn,0.009292805
aLHmX-Inn,0.076400006
aLHmX-Inn,0.0351696
aLHmX-Inn,0.118882814
aLHmX-Inn,0.079181854
aLHmX-Inn,0.12130619
aLHmX-Inn,0.169124493
aLHmX-Inn,0.145783524
aLHmX-Inn,0.006430135
aLHmX-Inn,0.119442753
aLHmX-Inn,0.02569661
aLHmX-Inn,0.074982974
aLHmX-Inn,0.022823359
aLHmX-Inn,0.134005883
aLHmX-Inn,0.000850503
aLHmX-Inn,0.083117308
aLHmX-Inn,0.150098595
aLHmX-Inn,0.074080837
aLHmX-Inn,0.144971983
aLHmX-Inn,0.084728085
aLHmX-Inn,0.077576836
aLHmX-Inn,0.088129198
aLHmX-Inn,0.015471445
aLHmX-Inn,0.078393395
aLHmX-Inn,0.085107918
aLHmX-Inn,0.122136043
aLHmX-Inn,0.093339532
aLHmX-Inn,0.053431862
aLHmX-Inn,0.035944728
aLHmX-Inn,0.050541867
aLHmX-Inn,0.147294475
aLHmX-Inn,0.104471977
aLHmX-Inn,0.117359252
aLHmX-Inn,0.138349823
aLHmX-Inn,0.069460272
aLHmX-Inn,0.04123117
aLHmX-Inn,0.108509251
aLHmX-Inn,0.160553865
aLHmX-Inn,0.099459033
aLHmX-Inn,0.081569108
aLHmX-Inn,-0.008947818
aLHmX-Inn,0.069070107
aLHmX-Inn,0.04865883
aLHmX-Inn,0.040987026
aLHmX-Inn,0.154517276
aLHmX-Inn,0.167299707
aLHmX-Inn,0.11923923
aLHmX-Inn,0.074582468
aLHmX-Inn,0.095641198
aLHmX-Inn,0.146064174
aLHmX-Inn,0.072037713
aLHmX-Inn,0.020795272
aLHmX-Inn,0.104305359
aLHmX-Inn,0.026880118
aLHmX-Inn,0.106510057
