population,treatment,male,size_mm
mOdd-Iy,cnovelY,12,0.793650794
mOdd-Iy,cnovelY,13,0.793650794
mOdd-Iy,cnovelY,14,0.793650794
mOdd-Iy,cnovelY,15,0.793650794
mOdd-Iy,cnovelY,16,0.793650794
mOdd-Iy,cnovelY,17,0.80952381
mOdd-Iy,cnovelY,18,0.793650794
mOdd-Iy,cnovelY,19,0.80952381
mOdd-Iy,cnovelY,20,0.841269841
mOdd-Iy,cnovelY,21,0.793650794
mOdd-Iy,cnovelY,22,0.793650794
mOdd-Iy,cnovelY,23,0.793650794
mOdd-Iy,cnovelY,24,0.793650794
mOdd-Iy,cnovelY,25,0.793650794
mOdd-Iy,cnovelY,26,0.698412698
mOdd-Iy,cnovelY,27,0.793650794
mOdd-Iy,cnovelY,28,0.80952381
mOdd-Iy,cnovelY,29,0.793650794
mOdd-Iy,cnovelY,30,0.793650794
mOdd-Iy,cnovelY,31,0.793650794
mOdd-Iy,cnovelY,32,0.793650794
mOdd-Iy,cnovelY,33,0.793650794
mOdd-Iy,cnovelY,34,0.793650794
mOdd-Iy,cnovelY,35,0.793650794
mOdd-Iy,cnovelY,36,0.777777778
mOdd-Iy,cnovelY,37,0.793650794
mOdd-Iy,cnovelY,38,0.761904762
mOdd-Iy,cnovelY,39,0.825396825
mOdd-Iy,cnovelY,40,0.825396825
mOdd-Iy,cnovelY,41,0.793650794
mOdd-Iy,cnovelY,42,0.793650794
mOdd-Iy,cnovelY,43,0.793650794
mOdd-Iy,cnovelY,44,0.761904762
mOdd-Iy,cnovelY,45,0.746031746
mOdd-Iy,cnovelY,46,0.793650794
mOdd-Iy,cnovelY,47,0.793650794
mOdd-Iy,cnovelY,48,0.793650794
mOdd-Iy,cnovelY,49,0.793650794
nOdd-Dx,bnovelX,1,0.825396825
nOdd-Dx,bnovelX,2,0.825396825
nOdd-Dx,bnovelX,3,0.80952381
nOdd-Dx,bnovelX,4,0.825396825
nOdd-Dx,bnovelX,5,0.793650794
nOdd-Dx,bnovelX,6,0.793650794
nOdd-Dx,bnovelX,7,0.825396825
nOdd-Dx,bnovelX,8,0.793650794
nOdd-Dx,bnovelX,9,0.825396825
nOdd-Dx,bnovelX,10,0.80952381
nOdd-Dx,bnovelX,11,0.80952381
nOdd-Dx,bnovelX,12,0.841269841
nOdd-Dx,bnovelX,13,0.80952381
nOdd-Dx,bnovelX,14,0.825396825
nOdd-Dx,bnovelX,15,0.80952381
nOdd-Dx,bnovelX,16,0.841269841
