population,deltaProp_male
aLHmX_Inn,0.062474572
aLHmX_Inn,0.031894316
aLHmX_Inn,0.005255138
aLHmX_Inn,0.093047197
aLHmX_Inn,0.049536725
aLHmX_Inn,0.045698957
aLHmX_Inn,0.042284284
aLHmX_Inn,0.061145148
aLHmX_Inn,0.024475022
aLHmX_Inn,0.030713303
aLHmX_Inn,0.042141179
aLHmX_Inn,0.023535824
aLHmX_Inn,0.022653015
aLHmX_Inn,0.026521484
aLHmX_Inn,-0.002486516
aLHmX_Inn,-0.007341061
aLHmX_Inn,0.018736255
aLHmX_Inn,0.020649784
aLHmX_Inn,0.037437349
aLHmX_Inn,0.045804433
aLHmX_Inn,0.058181222
aLHmX_Inn,0.051130951
aLHmX_Inn,0.017037553
aLHmX_Inn,0.013348836
aLHmX_Inn,0.078427184
aLHmX_Inn,0.048512123
aLHmX_Inn,0.007198692
aLHmX_Inn,0.045944614
aLHmX_Inn,0.031599391
aLHmX_Inn,0.024126049
aLHmX_Inn,0.044095858
aLHmX_Inn,0.039307749
aLHmX_Inn,0.009213751
aLHmX_Inn,0.047279896
aLHmX_Inn,0.007772275
aLHmX_Inn,0.030803603
aLHmX_Inn,0.02324901
aLHmX_Inn,0.041350821
aLHmX_Inn,0.018957131
aLHmX_Inn,0.055686947
aLHmX_Inn,0.049621355
aLHmX_Inn,0.07319054
aLHmX_Inn,0.035410242
aLHmX_Inn,0.055865736
aLHmX_Inn,0.065181748
aLHmX_Inn,0.065266022
aLHmX_Inn,0.00085904
aLHmX_Inn,0.040530714
aLHmX_Inn,-0.020140614
aLHmX_Inn,0.076793899
aLHmX_Inn,0.058256548
aLHmX_Inn,0.044052798
aLHmX_Inn,0.030874397
aLHmX_Inn,0.057000416
aLHmX_Inn,0.016058368
aLHmX_Inn,0.055318397
aLHmX_Inn,0.033185993
aLHmX_Inn,0.015437695
aLHmX_Inn,0.035281382
aLHmX_Inn,0.038090898
aLHmX_Inn,0.060088732
aLHmX_Inn,0.028935916
aLHmX_Inn,0.004641306
aLHmX_Inn,0.066744575
aLHmX_Inn,0.041768076
aLHmX_Inn,0.014710555
aLHmX_Inn,0.014802406
aLHmX_Inn,-0.005032356
aLHmX_Inn,0.024154497
aLHmX_Inn,0.012905756
aLHmX_Inn,0.025570471
aLHmX_Inn,-0.010151183
aLHmX_Inn,0.01080839
aLHmX_Inn,0.009832424
aLHmX_Inn,0.040218732
aLHmX_Inn,0.030795197
aLHmX_Inn,0.006872138
aLHmX_Inn,0.012532503
aLHmX_Inn,0.025521096
aLHmX_Inn,0.014032023
aLHmX_Inn,0.020163778
aLHmX_Inn,7.46E-05
aLHmX_Inn,0.056600482
aLHmX_Inn,0.043696605
aLHmX_Inn,0.041970626
aLHmX_Inn,0.026349536
aLHmX_Inn,0.039086979
aLHmX_Inn,0.017434698
aLHmX_Inn,0.057799572
aLHmX_Inn,0.016962527
aLHmX_Inn,0.009802654
aLHmX_Inn,0.061246093
aLHmX_Inn,0.020383802
aLHmX_Inn,-0.021294906
aLHmX_Inn,0.015191649
aLHmX_Inn,0.01281537
aLHmX_Inn,0.041000354
aLHmX_Inn,0.025833806
aLHmX_Inn,0.035336444
aLHmX_Inn,0.03037411
aLHmX_Inn,0.025886175
aLHmX_Inn,0.0643211
aLHmX_Inn,0.049674367
aLHmX_Inn,0.044441768
aLHmX_Inn,0.039514345
aLHmX_Inn,0.008383218
aLHmX_Inn,0.030398916
aLHmX_Inn,0.016169479
aLHmX_Inn,0.089553684
aLHmX_Inn,-0.013340831
aLHmX_Inn,0.017820154
aLHmX_Inn,0.041282048
aLHmX_Inn,0.063382769
