population,deltaEggs
aInnY-LHm,-13.87592593
aInnY-LHm,-20.90740741
aInnY-LHm,-16.86296296
aInnY-LHm,-5.957407408
aInnY-LHm,-19.45555556
aInnY-LHm,-13.52962963
aInnY-LHm,-15.92777778
aInnY-LHm,-18.03333333
aInnY-LHm,-17.18888889
aInnY-LHm,-21.87962963
aInnY-LHm,-13.93148148
aInnY-LHm,-7.396296297
aInnY-LHm,-8.905555556
aInnY-LHm,-12.17777778
aInnY-LHm,-25.55925926
aInnY-LHm,-14.29074074
aInnY-LHm,-14.62592593
aInnY-LHm,-13.81481482
aInnY-LHm,-4.283333333
aInnY-LHm,-6.524074074
aInnY-LHm,-11.76481482
aInnY-LHm,-21.75
aInnY-LHm,-4.262962963
aInnY-LHm,-15.17962963
aInnY-LHm,-16.21296296
aInnY-LHm,-24.10925926
aInnY-LHm,-15.74444445
aInnY-LHm,-25.54444444
aInnY-LHm,-13.52592593
aInnY-LHm,-16.12777778
aInnY-LHm,-21.3
aInnY-LHm,-11.77222222
aInnY-LHm,-24.33518519
aInnY-LHm,-12.35555556
aInnY-LHm,-13.26851852
aInnY-LHm,-15.83888889
aInnY-LHm,-17.93148148
aInnY-LHm,-13.14074074
aInnY-LHm,-12.57962963
aInnY-LHm,-14.57222222
aInnY-LHm,-7.168518519
aInnY-LHm,-17.08518519
aInnY-LHm,-25.00555556
aInnY-LHm,-14.4537037
aInnY-LHm,-18.43888889
aInnY-LHm,-19.23148148
aInnY-LHm,-16.59074074
aInnY-LHm,-9.168518519
aInnY-LHm,-14.33888889
aInnY-LHm,-26.97962963
aInnY-LHm,-17.84444444
aInnY-LHm,-14.41851852
aInnY-LHm,-11.16481482
aInnY-LHm,-9.740740741
aInnY-LHm,-15.76296296
aInnY-LHm,-10.01851852
aInnY-LHm,-11.81481482
aInnY-LHm,-20.67037037
aInnY-LHm,-13.40740741
aInnY-LHm,-25.6037037
aInnY-LHm,-13.45
aInnY-LHm,-15.00740741
aInnY-LHm,-5.572222222
aInnY-LHm,-9.166666667
aInnY-LHm,-26.51296296
aInnY-LHm,-16.72407407
aInnY-LHm,-15.35740741
aInnY-LHm,-19.14444444
aInnY-LHm,-18.47777778
aInnY-LHm,-21.29074074
aInnY-LHm,-13.42407407
aInnY-LHm,-21.90185185
aInnY-LHm,-19.69444444
aInnY-LHm,-23.13518519
aInnY-LHm,-7.794444444
aInnY-LHm,-7.455555556
aInnY-LHm,-15.05925926
aInnY-LHm,-23.55740741
aInnY-LHm,-8.422222222
aInnY-LHm,-10.95
aInnY-LHm,-7.135185186
aInnY-LHm,-20.94074074
aInnY-LHm,-10.81851852
aInnY-LHm,-20.56851852
aInnY-LHm,-16.47222222
aInnY-LHm,-15.14074074
aInnY-LHm,-19.05185185
aInnY-LHm,-9.251851852
aInnY-LHm,-15.18518519
aInnY-LHm,-11.86481482
aInnY-LHm,-12.60555556
aInnY-LHm,-16.35555556
aInnY-LHm,-14.14074074
aInnY-LHm,-20.00185185
aInnY-LHm,-17.20185185
aInnY-LHm,-23.27222222
aInnY-LHm,-17.17407407
aInnY-LHm,-6.518518519
aInnY-LHm,-14.4962963
aInnY-LHm,-12.06851852
aInnY-LHm,-23.06666667
aInnY-LHm,-16.5
aInnY-LHm,-14.40740741
aInnY-LHm,-21.25
aInnY-LHm,-18.84444444
aInnY-LHm,-9.172222222
aInnY-LHm,-13.15925926
aInnY-LHm,-14.64259259
aInnY-LHm,-13.60555556
aInnY-LHm,-11.73333333
aInnY-LHm,-13.53148148
aInnY-LHm,-13.24444444
aInnY-LHm,-24.26111111
aInnY-LHm,-13.57037037
aInnY-LHm,-10.59444444
aInnY-LHm,-10.42962963
aInnY-LHm,-14.38518519
aInnY-LHm,-12.14074074
aInnY-LHm,-14.96296296
aInnY-LHm,-27.41666667
aInnY-LHm,-24.62037037
aInnY-LHm,-10.4462963
aInnY-LHm,-10.2462963
aInnY-LHm,-13.25740741
aInnY-LHm,-9.072222222
aInnY-LHm,-16.75740741
aInnY-LHm,-16.63333333
aInnY-LHm,-18.83333333
aInnY-LHm,-13.63518519
aInnY-LHm,-22.26666667
aInnY-LHm,-18.46296296
aInnY-LHm,-13.14814815
aInnY-LHm,-12.35
aInnY-LHm,-20.85925926
aInnY-LHm,-12.24259259
aInnY-LHm,-10.60740741
aInnY-LHm,-13.9962963
aInnY-LHm,-18.21851852
aInnY-LHm,-18.61111111
aInnY-LHm,-16.35
aInnY-LHm,-8.812962963
aInnY-LHm,-12.36296296
aInnY-LHm,-20.77962963
aInnY-LHm,-6.466666667
aInnY-LHm,-16.21851852
aInnY-LHm,-13.18518519
aInnY-LHm,-20.68333333
aInnY-LHm,-16.69814815
aInnY-LHm,-23.29444444
aInnY-LHm,-11.3462963
aInnY-LHm,-14.1462963
aInnY-LHm,-22.10740741
aInnY-LHm,-21.91481482
aInnY-LHm,-8.164814816
aInnY-LHm,-6.588888889
aInnY-LHm,-6.977777778
aInnY-LHm,-12.23888889
aInnY-LHm,-17.18333333
aInnY-LHm,-14.82962963
aInnY-LHm,-12.65
aInnY-LHm,-11.27222222
aInnY-LHm,-16.59259259
aInnY-LHm,-18.24074074
aInnY-LHm,-8.727777778
aInnY-LHm,-13.31481482
aInnY-LHm,-6.174074074
aInnY-LHm,-19.72777778
aInnY-LHm,-12.98518519
aInnY-LHm,-17.07222222
aInnY-LHm,-5.201851852
aInnY-LHm,-12.6962963
aInnY-LHm,-15.15
aInnY-LHm,-18.22222222
aInnY-LHm,-11.09074074
aInnY-LHm,-13.76666667
aInnY-LHm,-14.86851852
aInnY-LHm,-9.885185186
aInnY-LHm,-12.86296296
aInnY-LHm,-11.09444444
aInnY-LHm,-18.84074074
aInnY-LHm,-12.33888889
aInnY-LHm,-13.79259259
aInnY-LHm,-13.58888889
aInnY-LHm,-5.424074074
aInnY-LHm,-14.4462963
aInnY-LHm,-14.9962963
aInnY-LHm,-18.68518519
aInnY-LHm,-15.6037037
aInnY-LHm,-25.69074074
aInnY-LHm,-9.1
aInnY-LHm,-15.68888889
aInnY-LHm,-16.41851852
aInnY-LHm,-12.30740741
aInnY-LHm,-27.83888889
aInnY-LHm,-9.812962963
aInnY-LHm,-19.76111111
aInnY-LHm,-25.05740741
aInnY-LHm,-12.60555556
aInnY-LHm,-13.45740741
aInnY-LHm,-16.26851852
aInnY-LHm,-11.13703704
aInnY-LHm,-8.316666667
aInnY-LHm,-15.08333333
aInnY-LHm,-11.26851852
aInnY-LHm,-16.82037037
aInnY-LHm,-24.08703704
aInnY-LHm,-15.53518519
aInnY-LHm,-20.46111111
aInnY-LHm,-3.561111111
aInnY-LHm,-17.44814815
aInnY-LHm,-13.23518519
aInnY-LHm,-10.95185185
aInnY-LHm,-8.801851852
aInnY-LHm,-16.34259259
aInnY-LHm,-16.08518519
aInnY-LHm,-19.64074074
aInnY-LHm,-12.44444444
aInnY-LHm,-7.227777778
aInnY-LHm,-19.62777778
aInnY-LHm,-6.4
aInnY-LHm,-12.85185185
aInnY-LHm,-7.503703704
aInnY-LHm,-16.82222222
aInnY-LHm,-13.33703704
aInnY-LHm,-18.29074074
aInnY-LHm,-17.14259259
aInnY-LHm,-15.15740741
aInnY-LHm,-7.918518519
aInnY-LHm,-13.12962963
aInnY-LHm,-20.8462963
aInnY-LHm,-12.9537037
aInnY-LHm,-2.988888889
aInnY-LHm,-26.42962963
aInnY-LHm,-8.888888889
aInnY-LHm,-11.92407407
aInnY-LHm,-12.71851852
aInnY-LHm,-21.0037037
aInnY-LHm,-7.335185186
aInnY-LHm,-15.66666667
aInnY-LHm,-14.03518519
aInnY-LHm,-14.39444445
aInnY-LHm,-9.457407408
aInnY-LHm,-5.657407408
aInnY-LHm,-14.5962963
aInnY-LHm,-12.8037037
aInnY-LHm,-8.768518519
aInnY-LHm,-2.222222222
aInnY-LHm,-11.58518519
aInnY-LHm,-10.53703704
aInnY-LHm,-12.8462963
aInnY-LHm,-28.88888889
aInnY-LHm,-13.00740741
aInnY-LHm,-18.42407408
aInnY-LHm,-23.57962963
aInnY-LHm,-19.98888889
aInnY-LHm,-3.457407408
aInnY-LHm,-15.33148148
aInnY-LHm,-17.34074074
aInnY-LHm,-11.66111111
aInnY-LHm,-4.851851852
aInnY-LHm,-12.77407407
aInnY-LHm,-8.733333333
aInnY-LHm,-13.21666667
aInnY-LHm,-15.18518519
aInnY-LHm,-15.86111111
aInnY-LHm,-22.10185185
aInnY-LHm,-19.29814815
aInnY-LHm,-8.931481482
aInnY-LHm,-7.55
aInnY-LHm,-22.60925926
aInnY-LHm,-19.26111111
aInnY-LHm,-14.98333333
aInnY-LHm,-18.8962963
aInnY-LHm,-14.25185185
aInnY-LHm,-9.911111111
aInnY-LHm,-6.905555556
aInnY-LHm,-6.866666667
aInnY-LHm,-18.33703704
aInnY-LHm,-22.93148148
aInnY-LHm,-13.34814815
aInnY-LHm,-13.84259259
aInnY-LHm,-18.32592593
aInnY-LHm,-9.012962963
aInnY-LHm,-26.05925926
aInnY-LHm,-7.074074074
aInnY-LHm,-5.112962963
aInnY-LHm,-23.91111111
aInnY-LHm,-13.92037037
aInnY-LHm,-12.82222222
aInnY-LHm,-14.0962963
aInnY-LHm,-14.51666667
aInnY-LHm,-9.935185186
aInnY-LHm,-12.22407407
aInnY-LHm,-20.30185185
aInnY-LHm,-17.61481482
aInnY-LHm,-19.52222222
aInnY-LHm,-19.54259259
aInnY-LHm,-9.305555556
aInnY-LHm,-12.75740741
aInnY-LHm,-14.98148148
aInnY-LHm,-8.985185186
aInnY-LHm,-19.47407407
aInnY-LHm,-7.116666667
aInnY-LHm,-18.51296296
aInnY-LHm,-14.94259259
aInnY-LHm,-17.4462963
aInnY-LHm,-14.23888889
aInnY-LHm,-11.84814815
aInnY-LHm,-17.24444444
aInnY-LHm,-17.27592593
aInnY-LHm,-12.69814815
aInnY-LHm,-11.27777778
aInnY-LHm,-19.46296296
aInnY-LHm,-13.55740741
aInnY-LHm,-15.96296296
aInnY-LHm,-16.65
aInnY-LHm,-11.1
aInnY-LHm,-20.34814815
aInnY-LHm,-17.68703704
aInnY-LHm,-8.544444444
aInnY-LHm,-16.25740741
aInnY-LHm,-16.57592593
aInnY-LHm,-20.83888889
aInnY-LHm,-12.86111111
aInnY-LHm,-5.661111111
aInnY-LHm,-15.69814815
aInnY-LHm,-14.11481482
aInnY-LHm,-19.56851852
aInnY-LHm,-20.97407407
aInnY-LHm,-19.70740741
aInnY-LHm,-10.99074074
aInnY-LHm,-20.16481482
aInnY-LHm,-13.03888889
aInnY-LHm,-7.161111111
aInnY-LHm,-17.23703704
aInnY-LHm,-15.52592593
aInnY-LHm,-6.894444444
aInnY-LHm,-8.033333333
aInnY-LHm,-13.31111111
aInnY-LHm,-11.03333333
aInnY-LHm,-15.98703704
aInnY-LHm,-11.72592593
aInnY-LHm,-11.35555556
aInnY-LHm,-21.39074074
aInnY-LHm,-19.12962963
aInnY-LHm,-16.55185185
aInnY-LHm,-9.174074074
aInnY-LHm,-15.88518519
aInnY-LHm,-16.48518519
aInnY-LHm,-1.9
aInnY-LHm,-8.022222222
aInnY-LHm,-16.00185185
aInnY-LHm,-19.2537037
aInnY-LHm,-10.0537037
aInnY-LHm,-14.46111111
aInnY-LHm,-23.16481482
aInnY-LHm,-3.257407408
aInnY-LHm,-15.18333333
aInnY-LHm,-9.972222222
aInnY-LHm,-13.69259259
aInnY-LHm,-14.0462963
aInnY-LHm,-23.75185185
aInnY-LHm,-7.133333333
aInnY-LHm,-15.43888889
aInnY-LHm,-11.09444444
aInnY-LHm,-4.5
aInnY-LHm,-8.572222222
aInnY-LHm,-8.885185186
aInnY-LHm,-18.44444444
aInnY-LHm,-10.43148148
aInnY-LHm,-18.34074074
aInnY-LHm,-4.896296297
aInnY-LHm,-15.57407407
aInnY-LHm,-21.98148148
aInnY-LHm,-14.35925926
aInnY-LHm,-19.14074074
aInnY-LHm,-21.25740741
aInnY-LHm,-17.96851852
aInnY-LHm,-10.09074074
aInnY-LHm,-12.36666667
aInnY-LHm,-15.73333333
aInnY-LHm,-16.49259259
aInnY-LHm,-13.57962963
aInnY-LHm,-5.788888889
aInnY-LHm,-18.47407407
aInnY-LHm,-14.15555556
aInnY-LHm,-6.733333333
aInnY-LHm,-10.00740741
aInnY-LHm,-7.394444444
aInnY-LHm,-5.333333333
aInnY-LHm,-7.933333333
aInnY-LHm,-7.107407408
aInnY-LHm,-10.75740741
aInnY-LHm,-30.4037037
aInnY-LHm,-17.27592593
aInnY-LHm,-10.65
aInnY-LHm,-18.04444444
aInnY-LHm,-17.70740741
aInnY-LHm,-8.301851852
aInnY-LHm,-18.42777778
aInnY-LHm,-5.1
aInnY-LHm,-22.08703704
aInnY-LHm,-10.32777778
aInnY-LHm,-6.440740741
aInnY-LHm,-20.29259259
aInnY-LHm,-17.7962963
aInnY-LHm,-13.11851852
aInnY-LHm,-9.924074074
aInnY-LHm,-22.7537037
aInnY-LHm,-13.02222222
aInnY-LHm,-26.86296296
aInnY-LHm,-18.96481482
aInnY-LHm,-15.48148148
aInnY-LHm,-11.1
aInnY-LHm,-16.84074074
aInnY-LHm,-15.63148148
aInnY-LHm,-22.05740741
aInnY-LHm,-12.23703704
