population,deltaProp_red
aLHmX_Inn,0.051783965
aLHmX_Inn,0.015349114
aLHmX_Inn,0.090945283
aLHmX_Inn,0.043580498
aLHmX_Inn,0.062454661
aLHmX_Inn,0.099228682
aLHmX_Inn,0.029145423
aLHmX_Inn,0.078181615
aLHmX_Inn,0.090916925
aLHmX_Inn,0.046373457
aLHmX_Inn,-0.036415195
aLHmX_Inn,0.018223244
aLHmX_Inn,-0.014611829
aLHmX_Inn,0.055671854
aLHmX_Inn,0.027557599
aLHmX_Inn,-0.07530525
aLHmX_Inn,0.044091603
aLHmX_Inn,0.063062493
aLHmX_Inn,0.031952198
aLHmX_Inn,0.096286859
aLHmX_Inn,-0.079969046
aLHmX_Inn,-0.012382756
aLHmX_Inn,-0.036004553
aLHmX_Inn,-0.007694718
aLHmX_Inn,-0.051990415
aLHmX_Inn,0.05814101
aLHmX_Inn,0.029831958
aLHmX_Inn,-0.008473152
aLHmX_Inn,-0.023065586
aLHmX_Inn,0.133954175
aLHmX_Inn,0.105978
aLHmX_Inn,-0.003902116
aLHmX_Inn,0.056881329
aLHmX_Inn,0.100743881
aLHmX_Inn,0.011803547
aLHmX_Inn,0.010084201
aLHmX_Inn,0.143701669
aLHmX_Inn,0.086366927
aLHmX_Inn,0.118187275
aLHmX_Inn,0.063289884
aLHmX_Inn,0.026995832
aLHmX_Inn,0.051876228
aLHmX_Inn,-0.184182164
aLHmX_Inn,0.116785298
aLHmX_Inn,0.048803041
aLHmX_Inn,-0.0016443
aLHmX_Inn,0.021053114
aLHmX_Inn,0.110176994
aLHmX_Inn,0.032688449
aLHmX_Inn,0.041288994
aLHmX_Inn,0.097392095
aLHmX_Inn,0.175290177
aLHmX_Inn,0.082763533
aLHmX_Inn,-0.159861979
aLHmX_Inn,0.070032178
aLHmX_Inn,0.003219965
aLHmX_Inn,0.22778352
aLHmX_Inn,-0.100141111
aLHmX_Inn,-0.035207574
aLHmX_Inn,0.145796943
aLHmX_Inn,0.130578999
aLHmX_Inn,-0.031606289
aLHmX_Inn,-0.111236842
aLHmX_Inn,0.122756859
aLHmX_Inn,0.116848427
aLHmX_Inn,0.0681663
aLHmX_Inn,0.10339591
aLHmX_Inn,0.030428307
aLHmX_Inn,0.153523031
aLHmX_Inn,0.03997878
aLHmX_Inn,0.099401518
aLHmX_Inn,0.029466941
aLHmX_Inn,-0.01230446
aLHmX_Inn,0.083886677
aLHmX_Inn,0.105340514
aLHmX_Inn,0.135494254
aLHmX_Inn,0.103519184
aLHmX_Inn,0.036026973
aLHmX_Inn,-0.017105049
aLHmX_Inn,8.98E-05
aLHmX_Inn,-0.015578539
aLHmX_Inn,0.051501923
