population,treatment,vial,female,age,dead
lOdd-Dy,cnovelY,4,3,22,0
lOdd-Dy,cnovelY,4,4,23,1
lOdd-Dy,cnovelY,4,5,26,1
lOdd-Dy,cnovelY,5,1,12,0
lOdd-Dy,cnovelY,5,2,19,1
lOdd-Dy,cnovelY,5,3,19,1
lOdd-Dy,cnovelY,5,4,25,1
lOdd-Dy,cnovelY,5,5,33,1
lOdd-Dy,cnovelY,6,1,10,1
lOdd-Dy,cnovelY,6,2,22,0
lOdd-Dy,cnovelY,6,3,28,1
lOdd-Dy,cnovelY,6,4,29,1
lOdd-Dy,cnovelY,6,5,31,1
lOdd-Dy,cnovelY,7,1,17,1
lOdd-Dy,cnovelY,7,2,28,1
lOdd-Dy,cnovelY,7,3,32,1
lOdd-Dy,cnovelY,7,4,33,1
lOdd-Dy,cnovelY,7,5,35,1
lOdd-Dy,cnovelY,8,1,2,1
lOdd-Dy,cnovelY,8,2,5,1
lOdd-Dy,cnovelY,8,3,32,1
lOdd-Dy,cnovelY,8,4,35,1
lOdd-Dy,cnovelY,8,5,35,1
lOdd-Dy,cnovelY,9,1,12,1
lOdd-Dy,cnovelY,9,2,22,0
lOdd-Dy,cnovelY,9,3,26,1
lOdd-Dy,cnovelY,9,4,30,1
lOdd-Dy,cnovelY,9,5,33,1
lOdd-Dy,cnovelY,10,1,12,1
lOdd-Dy,cnovelY,10,2,19,1
lOdd-Dy,cnovelY,10,3,22,0
lOdd-Dy,cnovelY,10,4,26,1
lOdd-Dy,cnovelY,10,5,33,1
mDahomey,awt,1,1,1,1
mDahomey,awt,1,2,12,1
mDahomey,awt,1,3,28,1
mDahomey,awt,1,4,32,1
mDahomey,awt,1,5,33,1
mDahomey,awt,2,1,26,1
mDahomey,awt,2,2,28,1
mDahomey,awt,2,3,31,1
mDahomey,awt,2,4,33,1
mDahomey,awt,2,5,33,1
mDahomey,awt,3,1,12,1
mDahomey,awt,3,2,26,1
mDahomey,awt,3,3,29,1
mDahomey,awt,3,4,33,1
mDahomey,awt,3,5,37,1
mDahomey,awt,4,1,15,1
mDahomey,awt,4,2,22,0
mDahomey,awt,4,3,29,1
mDahomey,awt,4,4,33,1
mDahomey,awt,4,5,35,1
mDahomey,awt,5,1,5,1
