population,deltaProp_eclose
aLHmX_Inn,-0.03
aLHmX_Inn,0.027222222
aLHmX_Inn,-0.038
aLHmX_Inn,-0.030892857
aLHmX_Inn,0.006
aLHmX_Inn,0
aLHmX_Inn,-0.044675325
aLHmX_Inn,0.031363636
aLHmX_Inn,-0.049318182
aLHmX_Inn,-0.000952381
aLHmX_Inn,0.028441558
aLHmX_Inn,-0.046363636
aLHmX_Inn,0.025
aLHmX_Inn,-0.060952381
aLHmX_Inn,0.015277778
aLHmX_Inn,-0.052424242
aLHmX_Inn,0.002467532
aLHmX_Inn,-0.029318182
aLHmX_Inn,0.010416667
aLHmX_Inn,-0.068472222
aLHmX_Inn,-0.004722222
aLHmX_Inn,-0.005555556
aLHmX_Inn,0.000151515
aLHmX_Inn,-0.045454545
aLHmX_Inn,-0.041313131
aLHmX_Inn,-0.018571429
aLHmX_Inn,-0.021111111
aLHmX_Inn,-0.025378788
aLHmX_Inn,-0.081022727
aLHmX_Inn,-0.051111111
aLHmX_Inn,-0.055454545
aLHmX_Inn,-0.041388889
aLHmX_Inn,-0.059848485
aLHmX_Inn,-0.108051948
aLHmX_Inn,-0.023333333
aLHmX_Inn,0.023833333
aLHmX_Inn,-0.035113636
aLHmX_Inn,-0.034155844
aLHmX_Inn,-0.042222222
aLHmX_Inn,0.0125
aLHmX_Inn,-0.045
aLHmX_Inn,-0.022
aLHmX_Inn,-0.055252525
aLHmX_Inn,0.012222222
aLHmX_Inn,-0.035166667
aLHmX_Inn,-0.025595238
aLHmX_Inn,-0.021818182
aLHmX_Inn,-0.038636364
aLHmX_Inn,-0.025119048
aLHmX_Inn,-0.065
aLHmX_Inn,-0.056515152
aLHmX_Inn,-0.036
aLHmX_Inn,-0.018888889
aLHmX_Inn,-0.04125
aLHmX_Inn,-0.039583333
aLHmX_Inn,-0.053333333
aLHmX_Inn,0.018636364
aLHmX_Inn,-0.031166667
aLHmX_Inn,-0.030075758
aLHmX_Inn,0.022
aLHmX_Inn,0.012828283
aLHmX_Inn,-0.082222222
aLHmX_Inn,-0.016166667
aLHmX_Inn,-0.03
aLHmX_Inn,-0.050545455
aLHmX_Inn,-0.02530303
aLHmX_Inn,-0.002380952
aLHmX_Inn,-0.057272727
aLHmX_Inn,0.012878788
aLHmX_Inn,-0.00040404
aLHmX_Inn,-0.019772727
aLHmX_Inn,-0.0085
aLHmX_Inn,-0.052888889
aLHmX_Inn,-0.010909091
aLHmX_Inn,-0.004924242
aLHmX_Inn,-0.033506494
aLHmX_Inn,-0.027222222
aLHmX_Inn,-0.066714286
aLHmX_Inn,-0.013
aLHmX_Inn,-0.047818182
aLHmX_Inn,-0.011931818
aLHmX_Inn,-0.004363636
aLHmX_Inn,-0.074571429
aLHmX_Inn,-0.006166667
aLHmX_Inn,-0.03
aLHmX_Inn,-0.0225
aLHmX_Inn,-0.02020202
aLHmX_Inn,-0.005
aLHmX_Inn,-0.108727273
aLHmX_Inn,0.001414141
aLHmX_Inn,-0.046868687
aLHmX_Inn,0.0095
aLHmX_Inn,-0.011313131
aLHmX_Inn,-0.003506494
aLHmX_Inn,0.010444444
aLHmX_Inn,-0.0325
aLHmX_Inn,-0.011666667
aLHmX_Inn,-0.033545455
aLHmX_Inn,-0.002083333
aLHmX_Inn,-0.056022727
aLHmX_Inn,-0.031388889
aLHmX_Inn,0.027083333
aLHmX_Inn,-0.006333333
aLHmX_Inn,-0.069818182
aLHmX_Inn,0.038863636
aLHmX_Inn,-0.002666667
aLHmX_Inn,0.010888889
aLHmX_Inn,-0.031666667
aLHmX_Inn,-0.071545455
aLHmX_Inn,0.041666667
aLHmX_Inn,0
aLHmX_Inn,-0.038
aLHmX_Inn,0.015714286
aLHmX_Inn,-0.019
aLHmX_Inn,-0.016704545
aLHmX_Inn,0.006
aLHmX_Inn,0.00010101
aLHmX_Inn,-0.072840909
aLHmX_Inn,-0.035454545
aLHmX_Inn,-0.01
aLHmX_Inn,-0.032857143
aLHmX_Inn,-0.075888889
aLHmX_Inn,-0.042666667
aLHmX_Inn,-0.042636364
aLHmX_Inn,0.0075
aLHmX_Inn,-0.0325
aLHmX_Inn,-0.061666667
aLHmX_Inn,-0.032738095
aLHmX_Inn,-0.048333333
aLHmX_Inn,-0.028333333
aLHmX_Inn,-0.042727273
aLHmX_Inn,-0.007333333
aLHmX_Inn,-0.044722222
aLHmX_Inn,0.005545455
aLHmX_Inn,-0.044166667
aLHmX_Inn,-0.019
aLHmX_Inn,0.010707071
aLHmX_Inn,0.015
aLHmX_Inn,-0.043863636
aLHmX_Inn,-0.036
aLHmX_Inn,-0.024848485
aLHmX_Inn,-0.031190476
aLHmX_Inn,-0.0255
aLHmX_Inn,0.029285714
aLHmX_Inn,0.009166667
aLHmX_Inn,0.02
aLHmX_Inn,-0.060833333
aLHmX_Inn,0.072857143
aLHmX_Inn,-0.013522727
aLHmX_Inn,0.068181818
aLHmX_Inn,-0.069333333
aLHmX_Inn,-0.006753247
aLHmX_Inn,-0.077142857
aLHmX_Inn,0.00875
aLHmX_Inn,0.008
aLHmX_Inn,-0.071333333
aLHmX_Inn,-0.028030303
aLHmX_Inn,-0.010227273
aLHmX_Inn,0.036
aLHmX_Inn,0.018522727
aLHmX_Inn,-0.044444444
aLHmX_Inn,-0.071090909
aLHmX_Inn,-0.048080808
aLHmX_Inn,-0.011818182
aLHmX_Inn,-0.022525253
aLHmX_Inn,-0.040113636
aLHmX_Inn,-0.045
aLHmX_Inn,-0.033
aLHmX_Inn,-0.045050505
aLHmX_Inn,-0.048333333
aLHmX_Inn,-0.07
aLHmX_Inn,0.002525253
aLHmX_Inn,0.014166667
aLHmX_Inn,-0.0175
aLHmX_Inn,-0.0375
aLHmX_Inn,-0.018636364
aLHmX_Inn,-0.034727273
aLHmX_Inn,0.001818182
aLHmX_Inn,-0.020727273
aLHmX_Inn,-0.024141414
aLHmX_Inn,-0.020833333
aLHmX_Inn,-0.060555556
aLHmX_Inn,-0.004935065
aLHmX_Inn,-0.0575
aLHmX_Inn,-0.065833333
aLHmX_Inn,-0.043636364
aLHmX_Inn,0.011818182
aLHmX_Inn,-0.009166667
